index,y,x,signed_curvature,curvature,radius,selected
81,-4.0,-4.760730249536152,0.22294456444884275,0.22294456444884275,4.485419962905001,1
82,-4.0,-4.521460499072166,0.05552198369665652,0.05552198369665652,18.010883859328302,0
83,-4.0,-4.282190748608183,8.618905487247894e-16,8.618905487247894e-16,inf,0
84,-4.0,-4.042920998144197,0.0,0.0,inf,0
85,-4.0,-3.8036512476802145,0.0,0.0,inf,0
86,-4.0,-3.564381497216228,0.0,0.0,inf,0
87,-4.0,-3.3251117467522455,0.0,0.0,inf,0
88,-4.0,-3.0858419962882593,0.0,0.0,inf,0
89,-4.0,-2.8465722458242766,0.0,0.0,inf,0
90,-4.0,-2.607302495360294,0.0,0.0,inf,0
91,-4.0,-2.3680327448963077,0.0,0.0,inf,0
92,-4.0,-2.1287629944323245,0.0,0.0,inf,1
93,-4.0,-1.8894932439683387,0.0,0.0,inf,0
94,-4.0,-1.6502234935043558,0.0,0.0,inf,0
95,-4.0,-1.4109537430403696,0.0,0.0,inf,0
96,-4.0,-1.171683992576387,0.0,0.0,inf,0
97,-4.0,-0.9324142421124009,0.0,0.0,inf,0
98,-4.0,-0.6931444916484182,0.0,0.0,inf,0
99,-4.0,-0.45387474118443194,0.0,0.0,inf,0
100,-4.0,-0.21460499072044925,0.0,0.0,inf,0
101,-4.0,0.02466475974353699,0.0,0.0,inf,0
102,-4.0,0.2639345102075197,0.0,0.0,inf,0
103,-4.0,0.5032042606715024,0.0,0.0,inf,1
104,-4.0,0.7424740111354894,0.0,0.0,inf,0
105,-4.0,0.981743761599472,0.0,0.0,inf,0
106,-4.0,1.2210135120634575,0.0,0.0,inf,0
107,-4.0,1.4602832625274402,0.0,0.0,inf,0
108,-4.0,1.6995530129914271,0.0,0.0,inf,0
109,-4.0,1.93882276345541,0.0,0.0,inf,0
110,-4.0,2.1780925139193954,0.0,0.0,inf,0
111,-4.0,2.417362264383378,0.0,0.0,inf,0
112,-4.0,2.6566320148473648,0.0,0.0,inf,0
113,-4.0,2.895901765311348,0.0,0.0,inf,0
114,-4.0,3.1351715157753333,0.0,0.0,inf,0
115,-4.0,3.374441266239316,0.0,0.0,inf,1
116,-4.0,3.6137110167032986,0.0,0.0,inf,0
117,-4.0,3.852980767167285,0.0,0.0,inf,0
118,-4.0,4.092250517631268,0.0,0.0,inf,0
119,-4.0,4.331520268095254,0.002363261464056724,0.002363261464056724,423.144038528611,0
120,-4.0,4.5707900185592365,0.08079178778493158,0.08079178778493158,12.377495626931891,0
121,-4.0,4.810059769023223,0.27162096245566764,0.27162096245566764,3.6816009742370825,0
122,-3.998782377605973,5.049309652551994,0.5685474706665182,0.5685474706665182,1.7588680833065398,1
123,-3.9586320939328723,5.284607525322493,0.8199081613535452,0.8199081613535452,1.2196487937736225,0
124,-3.8638739102390263,5.503691096559361,0.9638432187957459,0.9638432187957459,1.037513135434443,1
125,-3.7198932141876484,5.694076455532819,1.0000032007172457,1.0000032007172457,0.9999967992929989,0
126,-3.534888807048686,5.844908209958232,0.9763237081144246,0.9763237081144246,1.0242504526816227,1
127,-3.3194143308106607,5.947609951855286,0.848753912183292,0.848753912183292,1.1781978093363366,1
128,-3.085736179787482,5.996308658057981,0.6140907499393452,0.6140907499393452,1.6284238121137173,0
129,-2.8465722458243854,6.0,0.3107613187095612,0.3107613187095612,3.2179037087128726,0
130,-2.607302495360408,6.0,0.10255458282727918,0.10255458282727918,9.750905053986562,0
131,-2.3680327448964347,6.0,0.007165640787920686,0.007165640787920686,139.55486042305205,0
132,-2.1287629944324573,6.0,0.0,0.0,inf,1
133,-1.8894932439684837,6.0,0.0,0.0,inf,0
134,-1.6502234935045066,6.0,0.0,0.0,inf,0
135,-1.410953743040533,6.0,0.0,0.0,inf,0
136,-1.1716839925765592,6.0,0.0,0.0,inf,0
137,-0.9324142421125787,6.0,0.0,0.0,inf,0
138,-0.6931444916486049,6.0,0.0,0.0,inf,0
139,-0.4538747411846312,6.0,0.0,0.0,inf,0
140,-0.21460499072065758,6.0,0.0,0.0,inf,0
141,0.024664759743315553,6.0,0.0,0.0,inf,0
142,0.2639345102072967,6.0,0.0,0.0,inf,0
143,0.5032042606712704,6.0,0.0,0.0,inf,1
144,0.7424740111352438,6.0,0.0,0.0,inf,0
145,0.9817437615992178,6.0,0.0,0.0,inf,0
146,1.2210135120631986,6.0,0.0,0.0,inf,0
147,1.460283262527172,6.0,0.0,0.0,inf,0
148,1.6995530129911456,6.0,0.0,0.0,inf,0
149,1.9388227634551192,6.0,0.0,0.0,inf,0
150,2.1780925139191005,6.0,0.0,0.0,inf,0
151,2.4173622643830734,6.0,0.017733671417377857,0.017733671417377857,56.3899023763384,0
152,2.6566320148470473,6.0,0.13615307065493093,0.13615307065493093,7.344674601826792,0
153,2.895901765311021,6.0,0.36774974199864036,0.36774974199864036,2.719240520918427,1
154,3.134759661718183,5.990869662023435,0.6714482814203102,0.6714482814203102,1.4893179827412864,0
155,3.3657518251229317,5.930706166508888,0.8837933341839591,0.8837933341839591,1.1314862438098596,1
156,3.575900317416036,5.817505194821966,0.9890500854279088,0.9890500854279088,1.0110711426381949,0
157,3.753242866861885,5.657734991546055,1.0000023159045295,1.0000023159045295,0.9999976841008339,1
158,3.887659361684652,5.460480718661968,0.9429245203800992,0.9429245203800992,1.0605302740423945,1
159,3.971500136087954,5.236991500468663,0.7770262340341536,0.7770262340341536,1.2869578351405389,0
